id,name,province,city,address,types,1st,2nd
23000004,씨스페이스(유성봉명),대전,유성구,대전 유성구  온천로 80 ,lotto645|speetto,1,8
11101170,베네시티앞가판,서울,강동구,서울 강동구  올림픽로 664 대우베네시티cafe7gram앞,lotto645|pension720|speetto,2,8
11110387,대박천하복권방,서울,은평구,서울 은평구 연서로 150 1층 1호  ,lotto645|pension720|speetto,2,11
22800045,CU(영종BCD몰),인천,중구,인천 중구  하늘별빛로65번길 8 ,lotto645|pension720|speetto,1,6
12800101,인천상회,인천,중구,인천 중구  차이나타운로 42 ,lotto645|pension720|speetto,1,5
14100228,복권천국,경기,부천시,경기 부천시  고강로92번길 41 ,lotto645|pension720|speetto,1,17
14110249,복터진날,경기,안성시,경기 안성시  진사길 31 우림아파트상가 B-03호,lotto645|pension720|speetto,2,11
11190123,돈다발복권방,서울,종로구,서울 종로구  종로 352 ,lotto645|pension720|speetto,1,9
24300017,CU(제천역점),충북,제천시,충북 제천시  내토로 446 1층 CU편의점,lotto645|pension720|speetto,2,20
14100494,영진슈퍼,경기,성남시,경기 성남시 분당구  야탑로69번길 21 1층 117호,lotto645|pension720|speetto,1,15
14190014,당첨희망복권점,경기,이천시,경기 이천시  영창로 145 관고사거리,lotto645|pension720|speetto,3,16
12600049,엑스트라(우주점),부산,사상구,부산 사상구  모라로110번길 121 주공아파트1단지 가상가106호,lotto645|pension720|speetto,2,5
12700233,토큰박스(성당포스코더샵),대구,달서구,대구 달서구  장기로 115 도로가 가판,lotto645|pension720|speetto,1,2
14100548,로또명당매표소,경기,수원시,경기 수원시 팔달구  중부대로 241 ,lotto645|pension720|speetto,1,6
11100999,승지GALLANT,서울,서초구,서울 서초구  신반포로 194 경부고속터미널제2매표소앞 쇼케이스16 코너3,lotto645|pension720|speetto,1,9
11100761,세븐일레븐 햇빛점,서울,양천구,서울 양천구 목4동  782-3번지,lotto645,1,0
12900078,또또슈퍼,광주,광산구,광주 광산구 소촌동 529-16번지 ,lotto645|pension720|speetto,1,2
13000034,위앤조이 유천점,대전,중구,대전 중구 유천2동 186-4번지 ,lotto645|pension720|speetto,1,4
14810003,명가로또복권,경남,거제시,경남 거제시 사등면  덕호리  110-21번지 대교제일할인마트내,lotto645|speetto,1,0
11110196,로또판매,서울,강남구,서울 강남구  삼성로86길 10 1층 삼성슈퍼,lotto645,1,8
11101166,고덕로또복권,서울,강동구,서울 강동구  상일로15길 18 1층,lotto645|pension720|speetto,5,7
12610157,복터진나라,부산,서구,부산 서구  대영로 27 1층 복권판매점,lotto645|pension720|speetto,2,5
14100433,안성맞춤,경기,안성시,경기 안성시  안성맞춤대로 1099-1 ,lotto645|pension720|speetto,3,12
14490011,행운천하명당,충남,서천군,충남 서천군 충절로 34  ,lotto645|pension720|speetto,2,11
14400033,대산슈퍼,충남,천안시,충남 천안시 동남구 복구정3길 1  ,lotto645|pension720|speetto,8,34
14890039,함안 복권방,경남,함안군,경남 함안군  함안대로 552 1층,lotto645|pension720|speetto,3,10
11110393,응암2호점로또판매,서울,은평구,서울 은평구 역촌동  74-5번지,lotto645|speetto,1,0
12800056,즐거운복권방,인천,미추홀구,인천 미추홀구 인천  ,lotto645|pension720|speetto,2,7
14100096,공단슈퍼,경기,평택시,경기 평택시  산단로52번길 3 1층,lotto645|pension720|speetto,1,6
14200145,복권나라,강원,춘천시,강원 춘천시 후평동(후평2동) 687-20 ,lotto645|pension720|speetto,2,7
14390013,토토원,충북,청주시,충북 청주시 청원구 율량동 1816번지,lotto645|pension720|speetto,1,1
14810178,로또명당,경남,양산시,경남 양산시  평산6길 6 복권판매점,lotto645|pension720|speetto,3,12
12790032,돈벼락복권방,대구,북구,대구 북구  동변로 82-1 1층,lotto645|pension720|speetto,3,8
12610028,롯또,부산,해운대구,부산 해운대구  윗반송로 77 1층,lotto645|speetto,2,5
14100121,천하명당,경기,평택시,경기 평택시  탄현로 224 ,lotto645|pension720|speetto,5,9
14190023,북문복권방,경기,수원시,경기 수원시 장안구  정조로 927-1 ,lotto645|pension720|speetto,8,28
14410097,로또홍성휴게소(하행)판매점,충남,홍성군,충남 홍성군 은하면 292-3 서해안고속도로 홍성휴게소(하행)내 하이샵코너내,lotto645|speetto,1,7
14610113,훼미리마트(시네마로또),전남,목포시,전남 목포시 상동  1129-6번지 CU편의점,lotto645,1,0
21100133,GS25(구로미성점),서울,구로구,서울 구로구  구로중앙로 228 기임빌딩101호,lotto645|pension720|speetto,2,4
11110745,로또구파발점,서울,은평구,서울 은평구 진관동 70 메트로프라자 103호,lotto645,1,6
13010095,대박로또방,대전,서구,대전 서구 탄방동  764번지 세븐일레븐 편의점,lotto645,1,1
14110390,행운복권방,경기,성남시,경기 성남시 분당구 구미동 185-1번지 비즈파이코리아103호,lotto645|speetto,2,8
14110320,준,경기,평택시,경기 평택시  서동대로 1152 ,lotto645|pension720|speetto,4,19
14300071,오송창운로또복권,충북,청주시,충북 청주시 흥덕구  오송생명로 208-9 리움오피스텔 1층 104호,lotto645|pension720|speetto,1,5
14610014,복권천지,전남,여수시,전남 여수시  흥국로 79 ,lotto645|pension720|speetto,2,7
14800104,프리코너로또방,경남,창원시,경남 창원시 마산회원구  석전동로 1 ,lotto645|pension720|speetto,1,4
23000006,GS25(대전송촌점),대전,대덕구,대전 대덕구  계족산로81번길 51 ,lotto645,1,4
14100546,수일매표소,경기,수원시,경기 수원시 장안구 송죽동 445-1 ,lotto645|pension720|speetto,1,1
14510007,로또복권,전북,익산시,전북 익산시 마동  358-5번지,lotto645|speetto,1,0
14600068,동행복권 시청점,전남,광양시,전남 광양시  행정2길 2 ,lotto645|pension720|speetto,4,14
11101179,로또 명당 가판점,서울,금천구,서울 금천구  남부순환로 1390 가판,lotto645|pension720|speetto,5,19
14100409,영동슈퍼,경기,부천시,경기 부천시 원미구 심곡동 409-11번지 ,lotto645|speetto,1,4
14100262,플러스,경기,성남시,경기 성남시 중원구  광명로 33 ,lotto645,1,7
24100125,GS25(안양병목점),경기,안양시,경기 안양시 만안구 안양동(안양4동) 782-7 신광빌딩,lotto645|speetto,2,4
14210097,한성로또복권,강원,정선군,강원 정선군  고한9길 40 ,lotto645|pension720|speetto,3,13
14890037,블루25복권명당대원점,경남,창원시,경남 창원시 성산구  두대로 57 ,lotto645|pension720|speetto,2,13
12600188,재벌로터리,부산,중구,부산 중구 구덕로 1 재벌마트  ,lotto645|pension720|speetto,2,8
14100446,노다지복권방,경기,부천시,경기 부천시  양지로 205 1층 118호,lotto645|pension720|speetto,2,7
14110401,꿈에본그자리,경기,성남시,경기 성남시 중원구  산성대로 458 ,lotto645|pension720|speetto,1,10
11110554,로또,서울,강동구,서울 강동구 천호동 289 ,lotto645|speetto,1,7
12610024,노다지복권방,부산,사하구,부산 사하구 당리동  313-33번지 CU편의점,lotto645|speetto,1,1
24420002,GS25(두정메트로점),충남,천안시,충남 천안시 서북구 성정동 1451 ,lotto645|pension720|speetto,4,6
12810005,희성상사,인천,남구,인천 남구 주안동  1282-8번지,lotto645|pension720|speetto,1,2
12910018,대박나라,광주,광산구,광주 광산구  월곡산정로 7 1층,lotto645|pension720|speetto,1,5
12990013,복권세상,광주,광산구,광주 광산구  무진대로231번길 28 복권세상,lotto645|pension720|speetto,1,14
14100493,3번출구가판점,경기,성남시,경기 성남시 수정구  수정로 80 ,lotto645|pension720|speetto,1,14
11100531,그린슈퍼,서울,동대문구,서울 동대문구 왕산로 138  ,lotto645|pension720|speetto,3,11
22700094,CU(경대정문점),대구,북구,대구 북구  대현로19길 86 ,lotto645|speetto,1,2
14410012,달성로또복권판매소,충남,아산시,충남 아산시  온천대로 1432 ,lotto645|pension720|speetto,3,13
